time,tug_id,B,C,D,E,F,G,H,M
6000,12,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,13,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,14,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,15,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,16,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,17,50.1,50.0,48.0,50.0,50.1,50.0,50.2,50.0
6000,18,50.1,50.0,50.1,50.0,48.0,50.0,50.2,50.0
6000,19,50.1,50.0,50.1,50.0,50.1,50.0,48.0,50.0
6000,20,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,21,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,22,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,23,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,24,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,25,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,26,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,27,50.1,50.0,50.1,50.0,50.1,50.0,50.2,50.0
6000,28,48.0,50.0,50.1,50.0,50.1,50.0,50.0,50.0
6600,0,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,1,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,2,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,3,50.1,50.0,50.1,50.0,50.0,50.0,48.2,50.0
6600,4,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,5,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,6,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,7,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,8,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,9,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,10,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,11,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,12,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,13,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,14,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,15,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,16,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,17,50.1,50.0,48.0,50.0,50.1,50.0,50.300000000000004,50.0
6600,18,50.1,50.0,50.1,50.0,48.0,50.0,50.2,50.0
6600,19,50.1,50.0,50.1,50.0,50.1,50.0,46.0,50.0
6600,20,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,21,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,22,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,23,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,24,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,25,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,26,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,27,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
6600,28,48.0,50.0,50.1,50.0,50.1,50.0,50.1,50.0
7200,0,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,1,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,2,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,3,50.1,50.0,50.1,50.0,50.0,50.0,48.2,50.0
7200,4,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,5,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,6,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,7,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,8,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,9,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,10,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,11,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,12,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,13,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,14,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,15,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,16,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,17,50.1,50.0,48.0,50.0,50.1,50.0,50.300000000000004,50.0
7200,18,50.1,50.0,50.1,50.0,48.0,50.0,50.2,50.0
7200,19,50.1,50.0,50.1,50.0,50.1,50.0,46.0,50.0
7200,20,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,21,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
7200,22,50.1,50.0,50.1,50.0,50.1,50.0,50.300000000000004,50.0
